text,label
"Your account has been suspended. Click here to verify.",1
"Congratulations! You won a lottery. Claim now.",1
"Meeting scheduled for tomorrow at 10 AM.",0
"Please find the attached project report.",0
"Update your banking password immediately.",1
"Happy Birthday! Have a great day.",0
"Urgent! Your account will be closed unless verified today.",1
"Security alert: Login to secure your account.",1
"Your invoice is attached for review.",0
"Team meeting has been postponed to Friday.",0
"You have won a free iPhone. Click here to claim.",1
"Please update your payment details immediately.",1
"Monthly sales report is attached.",0
"Project submission deadline is next Monday.",0
"Verify your email account to avoid suspension.",1
"Your tax refund is waiting. Claim now.",1
"Lunch meeting scheduled with the client.",0
"Your leave request has been approved.",0
"Bank account verification required urgently.",1
"Reset your password using the link below.",1
"Thank you for attending the workshop.",0
"Please review the meeting minutes attached.",0
"Your package delivery has been delayed.",0
"Confirm your login credentials immediately.",1
"Click here to update your account information.",1
"Training session starts at 9 AM tomorrow.",0
"Your scholarship application has been accepted.",0
"Suspicious activity detected. Verify your account.",1
"You are selected as a lucky winner. Claim prize now.",1
"Please submit your assignment before deadline.",0
"Annual performance review meeting tomorrow.",0
"Your credit card has been blocked. Verify now.",1
"Immediate action required to secure your account.",1
"Budget discussion meeting scheduled for next week.",0
"Employee appreciation event on Friday.",0
"Update your banking information to continue service.",1
"Click the link below to unlock your account.",1
"Your order has been successfully delivered.",0
"New company policy document attached.",0
"Verify your identity to receive your reward.",1
"You have received a confidential document.",0
"Password expiration notice. Update immediately.",1
"Important security notification regarding your account.",1
"Team outing planned for this weekend.",0
"Project approval has been granted.",0
"Your online banking access has been suspended.",1
"Login now to prevent account closure.",1
"Weekly status report is ready for review.",0
"Meeting invitation from the HR department.",0
"Claim your cashback reward before it expires.",1